사용자아이디,영화아이디,평점,타임스탬프,성별,연령,직업,지역,영화제목,장르
4497,50,5,965000869,M,50,0,29678,"Usual Suspects, The (1995)",Crime|Thriller
4499,50,5,964998039,M,25,6,62702,"Usual Suspects, The (1995)",Crime|Thriller
4507,50,5,964982931,M,18,4,61820,"Usual Suspects, The (1995)",Crime|Thriller
4508,50,4,964988520,M,25,20,15701,"Usual Suspects, The (1995)",Crime|Thriller
4510,50,3,964979459,M,45,7,92503,"Usual Suspects, The (1995)",Crime|Thriller
4512,50,4,964979621,M,25,1,16508,"Usual Suspects, The (1995)",Crime|Thriller
4514,50,5,965267573,M,18,3,48604,"Usual Suspects, The (1995)",Crime|Thriller
4516,50,5,964856391,M,18,4,53142,"Usual Suspects, The (1995)",Crime|Thriller
4517,50,4,992831846,F,18,1,48067,"Usual Suspects, The (1995)",Crime|Thriller
4518,50,5,964843146,M,25,0,80903,"Usual Suspects, The (1995)",Crime|Thriller
4520,50,4,964883409,M,25,4,45810,"Usual Suspects, The (1995)",Crime|Thriller
4521,50,5,964838024,M,35,12,15202,"Usual Suspects, The (1995)",Crime|Thriller
4522,50,5,964825849,M,45,1,81004,"Usual Suspects, The (1995)",Crime|Thriller
4523,50,5,964812562,M,18,2,55304,"Usual Suspects, The (1995)",Crime|Thriller
4526,50,4,964808099,M,25,20,10012,"Usual Suspects, The (1995)",Crime|Thriller
4530,50,5,964741686,F,35,1,92103,"Usual Suspects, The (1995)",Crime|Thriller
4531,50,5,965155737,M,18,4,85701,"Usual Suspects, The (1995)",Crime|Thriller
4534,50,5,964731654,M,18,4,72202,"Usual Suspects, The (1995)",Crime|Thriller
4535,50,5,964721529,M,18,19,17517,"Usual Suspects, The (1995)",Crime|Thriller
4536,50,5,964716672,M,18,12,53715,"Usual Suspects, The (1995)",Crime|Thriller
4542,50,5,964673064,M,35,0,94610,"Usual Suspects, The (1995)",Crime|Thriller
4543,50,5,964672004,M,25,2,11105,"Usual Suspects, The (1995)",Crime|Thriller
4546,50,5,964656067,M,25,7,49686,"Usual Suspects, The (1995)",Crime|Thriller
4551,50,5,964559520,M,18,12,60622,"Usual Suspects, The (1995)",Crime|Thriller
4557,50,5,965232081,M,25,14,2134,"Usual Suspects, The (1995)",Crime|Thriller
4560,50,5,964648065,M,25,0,69301,"Usual Suspects, The (1995)",Crime|Thriller
4565,50,5,964502558,M,35,14,94085,"Usual Suspects, The (1995)",Crime|Thriller
4567,50,4,964485874,M,18,4,98105,"Usual Suspects, The (1995)",Crime|Thriller
4574,50,4,964445926,M,25,4,60614,"Usual Suspects, The (1995)",Crime|Thriller
4578,50,5,964796442,M,25,0,2134,"Usual Suspects, The (1995)",Crime|Thriller
4579,50,4,995340903,F,18,4,63332,"Usual Suspects, The (1995)",Crime|Thriller
4585,50,5,964324521,M,35,7,30324,"Usual Suspects, The (1995)",Crime|Thriller
4590,50,5,964310789,F,18,20,55104,"Usual Suspects, The (1995)",Crime|Thriller
4591,50,4,964307367,M,25,15,2143,"Usual Suspects, The (1995)",Crime|Thriller
4593,50,4,966484032,F,45,1,43202,"Usual Suspects, The (1995)",Crime|Thriller
4602,50,3,964206951,M,35,7,10021,"Usual Suspects, The (1995)",Crime|Thriller
4604,50,3,989762122,M,25,15,10461,"Usual Suspects, The (1995)",Crime|Thriller
4607,50,5,964197114,M,25,0,27403,"Usual Suspects, The (1995)",Crime|Thriller
4611,50,5,965679184,F,18,4,78705,"Usual Suspects, The (1995)",Crime|Thriller
4613,50,4,964144601,M,25,12,41042,"Usual Suspects, The (1995)",Crime|Thriller
4615,50,5,964141948,M,25,17,61615,"Usual Suspects, The (1995)",Crime|Thriller
4619,50,5,964124732,F,25,1,97225,"Usual Suspects, The (1995)",Crime|Thriller
4626,50,5,964112273,M,25,14,97219,"Usual Suspects, The (1995)",Crime|Thriller
4631,50,5,964040372,M,18,4,94111,"Usual Suspects, The (1995)",Crime|Thriller
4635,50,4,964033173,M,18,4,94703,"Usual Suspects, The (1995)",Crime|Thriller
4641,50,5,964040417,M,25,7,20016,"Usual Suspects, The (1995)",Crime|Thriller
4643,50,2,963998060,M,25,0,98115,"Usual Suspects, The (1995)",Crime|Thriller
4644,50,5,963977841,M,50,1,19481,"Usual Suspects, The (1995)",Crime|Thriller
4646,50,2,963968980,F,25,6,90405,"Usual Suspects, The (1995)",Crime|Thriller
4647,50,3,963964694,M,35,20,80222,"Usual Suspects, The (1995)",Crime|Thriller
4653,50,4,963939612,M,35,12,95051,"Usual Suspects, The (1995)",Crime|Thriller
4656,50,4,963896023,M,25,17,94041,"Usual Suspects, The (1995)",Crime|Thriller
4657,50,5,975803422,M,45,14,55416,"Usual Suspects, The (1995)",Crime|Thriller
4658,50,4,963878651,M,25,4,99163,"Usual Suspects, The (1995)",Crime|Thriller
4659,50,5,963876303,F,25,14,37076,"Usual Suspects, The (1995)",Crime|Thriller
4661,50,5,963867341,M,45,15,85255,"Usual Suspects, The (1995)",Crime|Thriller
4671,50,4,963794595,M,25,12,94043,"Usual Suspects, The (1995)",Crime|Thriller
4675,50,5,963740356,F,18,4,27514,"Usual Suspects, The (1995)",Crime|Thriller
4680,50,5,963682662,M,35,0,4473,"Usual Suspects, The (1995)",Crime|Thriller
4681,50,5,963683694,F,35,15,6119,"Usual Suspects, The (1995)",Crime|Thriller
4682,50,4,965655951,M,25,7,5346,"Usual Suspects, The (1995)",Crime|Thriller
4684,50,5,963668482,F,25,0,4473,"Usual Suspects, The (1995)",Crime|Thriller
4686,50,5,963621671,M,18,1,50201,"Usual Suspects, The (1995)",Crime|Thriller
4687,50,5,963621170,M,35,14,1746,"Usual Suspects, The (1995)",Crime|Thriller
4688,50,5,963617985,M,25,9,44310,"Usual Suspects, The (1995)",Crime|Thriller
4689,50,5,963614547,M,18,12,2215,"Usual Suspects, The (1995)",Crime|Thriller
4708,50,5,963517379,M,25,0,60647,"Usual Suspects, The (1995)",Crime|Thriller
4715,50,5,963444704,M,25,2,97205,"Usual Suspects, The (1995)",Crime|Thriller
4726,50,4,963986538,F,35,16,95828,"Usual Suspects, The (1995)",Crime|Thriller
4728,50,4,1032133294,M,25,19,31401,"Usual Suspects, The (1995)",Crime|Thriller
4729,50,5,963352088,M,50,16,55347,"Usual Suspects, The (1995)",Crime|Thriller
4732,50,5,963636651,M,25,14,24450,"Usual Suspects, The (1995)",Crime|Thriller
4734,50,5,963325767,M,50,1,93105,"Usual Suspects, The (1995)",Crime|Thriller
4735,50,4,963308387,M,45,3,50312,"Usual Suspects, The (1995)",Crime|Thriller
4736,50,4,963298033,M,18,20,91505,"Usual Suspects, The (1995)",Crime|Thriller
4741,50,5,963267332,M,35,7,15203,"Usual Suspects, The (1995)",Crime|Thriller
4742,50,5,963330138,M,25,3,94118,"Usual Suspects, The (1995)",Crime|Thriller
4745,50,5,963249213,F,18,4,6268,"Usual Suspects, The (1995)",Crime|Thriller
4750,50,4,982158305,F,25,0,91107,"Usual Suspects, The (1995)",Crime|Thriller
4757,50,5,963158180,M,35,17,23451,"Usual Suspects, The (1995)",Crime|Thriller
4765,50,5,1012020794,F,35,16,3301,"Usual Suspects, The (1995)",Crime|Thriller
4771,50,5,963114299,F,25,4,4101,"Usual Suspects, The (1995)",Crime|Thriller
4774,50,5,963057957,M,45,14,7458,"Usual Suspects, The (1995)",Crime|Thriller
4780,50,5,963016838,M,25,12,94114,"Usual Suspects, The (1995)",Crime|Thriller
4783,50,5,963005233,M,25,0,60618,"Usual Suspects, The (1995)",Crime|Thriller
4784,50,5,965422113,F,35,6,48105,"Usual Suspects, The (1995)",Crime|Thriller
4786,50,5,963000464,M,45,6,22630,"Usual Suspects, The (1995)",Crime|Thriller
4791,50,2,962998989,M,18,4,55116,"Usual Suspects, The (1995)",Crime|Thriller
4793,50,4,963434337,F,25,6,48108,"Usual Suspects, The (1995)",Crime|Thriller
4795,50,4,969659621,M,45,16,10962,"Usual Suspects, The (1995)",Crime|Thriller
4796,50,4,962985915,M,35,7,98103,"Usual Suspects, The (1995)",Crime|Thriller
4802,50,5,996034721,M,56,1,40601,"Usual Suspects, The (1995)",Crime|Thriller
4809,50,5,994702519,F,50,4,20902,"Usual Suspects, The (1995)",Crime|Thriller
4812,50,5,962932508,M,18,14,25301,"Usual Suspects, The (1995)",Crime|Thriller
4815,50,5,991429983,F,50,18,4849,"Usual Suspects, The (1995)",Crime|Thriller
4816,50,5,962930827,F,45,6,4240,"Usual Suspects, The (1995)",Crime|Thriller
4819,50,5,962921381,M,35,18,17350,"Usual Suspects, The (1995)",Crime|Thriller
4823,50,5,962987717,M,18,4,46219,"Usual Suspects, The (1995)",Crime|Thriller
4824,50,4,962915777,M,25,7,55411,"Usual Suspects, The (1995)",Crime|Thriller
4826,50,3,962998494,M,45,12,55436,"Usual Suspects, The (1995)",Crime|Thriller
4829,50,5,962919043,M,25,0,20008,"Usual Suspects, The (1995)",Crime|Thriller
4831,50,5,962902390,F,25,1,4210,"Usual Suspects, The (1995)",Crime|Thriller
4832,50,5,962899262,M,25,14,17857,"Usual Suspects, The (1995)",Crime|Thriller
4834,50,4,995650380,F,45,9,3862,"Usual Suspects, The (1995)",Crime|Thriller
4835,50,5,962895722,M,25,20,14450,"Usual Suspects, The (1995)",Crime|Thriller
4842,50,5,1022113601,F,35,1,23062,"Usual Suspects, The (1995)",Crime|Thriller
4847,50,4,962833857,M,25,12,94131,"Usual Suspects, The (1995)",Crime|Thriller
4857,50,5,962828924,M,25,14,23434,"Usual Suspects, The (1995)",Crime|Thriller
4858,50,5,963745767,M,25,1,4086,"Usual Suspects, The (1995)",Crime|Thriller
4860,50,5,962828333,M,25,2,60640,"Usual Suspects, The (1995)",Crime|Thriller
4861,50,5,962827452,M,25,4,4309,"Usual Suspects, The (1995)",Crime|Thriller
4867,50,5,962818637,M,25,16,4101,"Usual Suspects, The (1995)",Crime|Thriller
4869,50,5,962816341,F,45,6,4578,"Usual Suspects, The (1995)",Crime|Thriller
4874,50,5,962782024,F,25,4,70808,"Usual Suspects, The (1995)",Crime|Thriller
4879,50,5,962766915,M,25,3,60626,"Usual Suspects, The (1995)",Crime|Thriller
4884,50,5,962744287,M,35,14,90266,"Usual Suspects, The (1995)",Crime|Thriller
4887,50,5,962738731,M,18,2,19072,"Usual Suspects, The (1995)",Crime|Thriller
4888,50,5,962738875,F,56,0,8055,"Usual Suspects, The (1995)",Crime|Thriller
4898,50,5,962712068,M,25,1,27713,"Usual Suspects, The (1995)",Crime|Thriller
4899,50,5,962702564,M,25,12,94402,"Usual Suspects, The (1995)",Crime|Thriller
4903,50,5,962684674,M,35,12,95952,"Usual Suspects, The (1995)",Crime|Thriller
4905,50,3,962681831,F,45,1,60417,"Usual Suspects, The (1995)",Crime|Thriller
4906,50,4,962681183,M,50,17,49506,"Usual Suspects, The (1995)",Crime|Thriller
4915,50,5,962680677,M,25,12,91423,"Usual Suspects, The (1995)",Crime|Thriller
4918,50,5,965014080,F,18,12,84107,"Usual Suspects, The (1995)",Crime|Thriller
4921,50,5,962782006,F,25,15,92507,"Usual Suspects, The (1995)",Crime|Thriller
4922,50,4,962669285,M,18,17,98121,"Usual Suspects, The (1995)",Crime|Thriller
4924,50,5,962667353,F,35,0,99801,"Usual Suspects, The (1995)",Crime|Thriller
4928,50,4,962672822,F,25,3,92103,"Usual Suspects, The (1995)",Crime|Thriller
4932,50,5,962650551,M,25,7,63303,"Usual Suspects, The (1995)",Crime|Thriller
4933,50,4,962755424,M,25,15,94040,"Usual Suspects, The (1995)",Crime|Thriller
4936,50,5,962646104,F,18,4,63144,"Usual Suspects, The (1995)",Crime|Thriller
4937,50,4,962646253,M,35,0,2108,"Usual Suspects, The (1995)",Crime|Thriller
4941,50,4,962642057,M,56,20,44281,"Usual Suspects, The (1995)",Crime|Thriller
4942,50,4,962642961,M,45,12,40515,"Usual Suspects, The (1995)",Crime|Thriller
4946,50,3,962642901,F,35,1,91106,"Usual Suspects, The (1995)",Crime|Thriller
4947,50,4,962642370,M,35,17,90035,"Usual Suspects, The (1995)",Crime|Thriller
4948,50,2,962650162,M,45,2,94618,"Usual Suspects, The (1995)",Crime|Thriller
4949,50,5,962642138,M,18,4,55104,"Usual Suspects, The (1995)",Crime|Thriller
4950,50,4,962935941,M,25,16,55421,"Usual Suspects, The (1995)",Crime|Thriller
4953,50,5,962639504,M,35,12,55082,"Usual Suspects, The (1995)",Crime|Thriller
4957,50,5,962759733,M,25,2,48197,"Usual Suspects, The (1995)",Crime|Thriller
4958,50,4,968166400,M,18,7,55403,"Usual Suspects, The (1995)",Crime|Thriller
4967,50,5,962610588,M,18,4,94708,"Usual Suspects, The (1995)",Crime|Thriller
4977,50,5,962601119,M,25,4,92507,"Usual Suspects, The (1995)",Crime|Thriller
4979,50,5,962602565,M,35,2,55423,"Usual Suspects, The (1995)",Crime|Thriller
4980,50,5,962600944,M,25,1,55403,"Usual Suspects, The (1995)",Crime|Thriller
4989,50,3,962592520,M,25,0,55121,"Usual Suspects, The (1995)",Crime|Thriller
4990,50,5,962592321,F,25,4,55407,"Usual Suspects, The (1995)",Crime|Thriller
4995,50,5,962592192,M,50,20,55419,"Usual Suspects, The (1995)",Crime|Thriller
4998,50,5,962593663,F,18,4,48433,"Usual Suspects, The (1995)",Crime|Thriller
5005,50,4,962592693,M,45,16,92807,"Usual Suspects, The (1995)",Crime|Thriller
5008,50,4,973735515,M,25,20,60615,"Usual Suspects, The (1995)",Crime|Thriller
5015,50,5,962593048,M,35,6,92672,"Usual Suspects, The (1995)",Crime|Thriller
5019,50,5,962583509,M,25,7,10025,"Usual Suspects, The (1995)",Crime|Thriller
5026,50,3,962578419,M,25,17,92584,"Usual Suspects, The (1995)",Crime|Thriller
5029,50,4,962565814,M,25,4,70115,"Usual Suspects, The (1995)",Crime|Thriller
5032,50,5,962561288,M,18,17,2139,"Usual Suspects, The (1995)",Crime|Thriller
5034,50,5,962559692,F,25,15,62901,"Usual Suspects, The (1995)",Crime|Thriller
5038,50,2,962521374,M,25,20,10010,"Usual Suspects, The (1995)",Crime|Thriller
5039,50,3,962512325,F,35,4,97068,"Usual Suspects, The (1995)",Crime|Thriller
5046,50,4,962500219,M,25,16,60614,"Usual Suspects, The (1995)",Crime|Thriller
5047,50,5,966134237,M,45,6,23452,"Usual Suspects, The (1995)",Crime|Thriller
5049,50,5,962493378,M,25,12,60613,"Usual Suspects, The (1995)",Crime|Thriller
5050,50,4,968014557,F,18,4,11024,"Usual Suspects, The (1995)",Crime|Thriller
5053,50,4,987895908,M,25,4,84111,"Usual Suspects, The (1995)",Crime|Thriller
5054,50,4,962487290,M,35,2,20818,"Usual Suspects, The (1995)",Crime|Thriller
5064,50,4,963073013,M,18,4,43215,"Usual Suspects, The (1995)",Crime|Thriller
5065,50,4,962914136,M,25,14,28715,"Usual Suspects, The (1995)",Crime|Thriller
5070,50,4,962469052,M,25,2,55344,"Usual Suspects, The (1995)",Crime|Thriller
5071,50,5,997648479,F,25,7,75093,"Usual Suspects, The (1995)",Crime|Thriller
5074,50,4,962429027,M,1,0,20132,"Usual Suspects, The (1995)",Crime|Thriller
5077,50,3,962565920,M,25,2,20037,"Usual Suspects, The (1995)",Crime|Thriller
5083,50,5,962418132,M,25,4,16803,"Usual Suspects, The (1995)",Crime|Thriller
5085,50,5,962629653,M,56,17,75225,"Usual Suspects, The (1995)",Crime|Thriller
5086,50,4,962395804,M,25,1,23462,"Usual Suspects, The (1995)",Crime|Thriller
5090,50,3,962392251,F,35,19,75069,"Usual Suspects, The (1995)",Crime|Thriller
5093,50,5,962384779,M,50,7,19047,"Usual Suspects, The (1995)",Crime|Thriller
5096,50,5,962391152,M,25,11,75206,"Usual Suspects, The (1995)",Crime|Thriller
5100,50,5,962407383,M,50,6,193122042,"Usual Suspects, The (1995)",Crime|Thriller
5102,50,5,982779956,M,25,12,90240,"Usual Suspects, The (1995)",Crime|Thriller
5103,50,3,962410600,F,35,16,78222,"Usual Suspects, The (1995)",Crime|Thriller
5113,50,3,971971979,M,25,0,55408,"Usual Suspects, The (1995)",Crime|Thriller
5115,50,5,962308634,M,56,12,2143,"Usual Suspects, The (1995)",Crime|Thriller
5120,50,5,962256535,M,50,7,80302,"Usual Suspects, The (1995)",Crime|Thriller
5124,50,4,962199075,M,35,2,20818,"Usual Suspects, The (1995)",Crime|Thriller
5130,50,4,962132472,F,50,1,33149,"Usual Suspects, The (1995)",Crime|Thriller
5132,50,5,1036269988,M,35,7,77565,"Usual Suspects, The (1995)",Crime|Thriller
5143,50,5,962831816,M,18,4,44502,"Usual Suspects, The (1995)",Crime|Thriller
5144,50,3,962035523,F,50,0,66762,"Usual Suspects, The (1995)",Crime|Thriller
5147,50,5,962024973,M,18,0,48314,"Usual Suspects, The (1995)",Crime|Thriller
5148,50,5,962014900,M,25,20,98101,"Usual Suspects, The (1995)",Crime|Thriller
5156,50,4,1042211210,M,18,14,10024,"Usual Suspects, The (1995)",Crime|Thriller
5158,50,5,961939422,F,18,4,44509,"Usual Suspects, The (1995)",Crime|Thriller
5161,50,5,961911166,M,25,4,30052,"Usual Suspects, The (1995)",Crime|Thriller
5167,50,5,961898166,M,18,15,6114,"Usual Suspects, The (1995)",Crime|Thriller
5169,50,4,961891028,F,50,4,53562,"Usual Suspects, The (1995)",Crime|Thriller
5170,50,5,961981921,M,18,4,63141,"Usual Suspects, The (1995)",Crime|Thriller
5172,50,5,995327646,F,35,11,5602,"Usual Suspects, The (1995)",Crime|Thriller
5184,50,5,961734647,M,18,20,67212,"Usual Suspects, The (1995)",Crime|Thriller
5185,50,3,962833939,F,35,4,44485,"Usual Suspects, The (1995)",Crime|Thriller
5187,50,5,961724301,M,18,16,6510,"Usual Suspects, The (1995)",Crime|Thriller
5194,50,4,961697377,M,25,7,55409,"Usual Suspects, The (1995)",Crime|Thriller
5205,50,5,961639499,M,25,1,2908,"Usual Suspects, The (1995)",Crime|Thriller
5208,50,5,961658648,M,25,4,55455,"Usual Suspects, The (1995)",Crime|Thriller
5209,50,4,961944235,M,50,1,46077,"Usual Suspects, The (1995)",Crime|Thriller
5217,50,4,961553126,M,25,17,1060,"Usual Suspects, The (1995)",Crime|Thriller
5220,50,3,961540560,M,25,7,91436,"Usual Suspects, The (1995)",Crime|Thriller
5222,50,5,961530908,M,25,12,94501,"Usual Suspects, The (1995)",Crime|Thriller
5225,50,3,961518437,M,18,4,55120,"Usual Suspects, The (1995)",Crime|Thriller
5228,50,4,961471740,M,1,0,75070,"Usual Suspects, The (1995)",Crime|Thriller
5230,50,5,961462049,M,25,12,91104,"Usual Suspects, The (1995)",Crime|Thriller
5233,50,4,961450429,M,25,5,97213,"Usual Suspects, The (1995)",Crime|Thriller
5236,50,5,961445087,M,25,14,46268,"Usual Suspects, The (1995)",Crime|Thriller
5242,50,3,1003270913,M,25,1,14608,"Usual Suspects, The (1995)",Crime|Thriller
5249,50,5,961603274,F,45,14,75006,"Usual Suspects, The (1995)",Crime|Thriller
5251,50,4,961900068,F,25,17,97330,"Usual Suspects, The (1995)",Crime|Thriller
5256,50,4,961299899,M,25,16,30269,"Usual Suspects, The (1995)",Crime|Thriller
5264,50,4,961255817,M,18,4,15217,"Usual Suspects, The (1995)",Crime|Thriller
5265,50,4,961221631,M,45,1,97405,"Usual Suspects, The (1995)",Crime|Thriller
5269,50,5,961168921,M,18,0,37211,"Usual Suspects, The (1995)",Crime|Thriller
5271,50,4,961137775,F,25,0,94110,"Usual Suspects, The (1995)",Crime|Thriller
5284,50,5,961097553,M,25,16,55426,"Usual Suspects, The (1995)",Crime|Thriller
5293,50,4,961055388,M,25,12,95030,"Usual Suspects, The (1995)",Crime|Thriller
5301,50,5,960975351,M,25,17,693,"Usual Suspects, The (1995)",Crime|Thriller
5305,50,5,966997731,F,18,4,95602,"Usual Suspects, The (1995)",Crime|Thriller
5306,50,3,961012578,F,25,17,92121,"Usual Suspects, The (1995)",Crime|Thriller
5309,50,4,960928290,M,25,0,2478,"Usual Suspects, The (1995)",Crime|Thriller
5312,50,4,960923435,M,25,1,10463,"Usual Suspects, The (1995)",Crime|Thriller
5317,50,5,972360690,F,25,0,2138,"Usual Suspects, The (1995)",Crime|Thriller
5319,50,5,960866181,M,18,17,94941,"Usual Suspects, The (1995)",Crime|Thriller
5321,50,5,960863233,M,25,4,2457,"Usual Suspects, The (1995)",Crime|Thriller
5324,50,5,960856973,M,25,7,2150,"Usual Suspects, The (1995)",Crime|Thriller
5326,50,1,960846002,M,25,2,55408,"Usual Suspects, The (1995)",Crime|Thriller
5329,50,5,960916144,F,25,5,91773,"Usual Suspects, The (1995)",Crime|Thriller
5333,50,5,960833087,F,25,7,2332,"Usual Suspects, The (1995)",Crime|Thriller
5349,50,4,960663240,F,50,2,97424,"Usual Suspects, The (1995)",Crime|Thriller
5353,50,5,960617743,M,25,6,77030,"Usual Suspects, The (1995)",Crime|Thriller
5359,50,5,960555818,M,18,16,27705,"Usual Suspects, The (1995)",Crime|Thriller
5364,50,5,960583252,F,25,3,55408,"Usual Suspects, The (1995)",Crime|Thriller
5365,50,5,960501762,M,18,12,90250,"Usual Suspects, The (1995)",Crime|Thriller
5366,50,5,960500558,M,18,12,90045,"Usual Suspects, The (1995)",Crime|Thriller
5367,50,4,960501707,M,18,4,55344,"Usual Suspects, The (1995)",Crime|Thriller
5368,50,5,960497146,F,25,17,20120,"Usual Suspects, The (1995)",Crime|Thriller
5369,50,5,960488787,M,25,15,2139,"Usual Suspects, The (1995)",Crime|Thriller
5371,50,5,960480075,M,25,11,55408,"Usual Suspects, The (1995)",Crime|Thriller
5372,50,4,960479418,M,25,4,10549,"Usual Suspects, The (1995)",Crime|Thriller
5376,50,4,960409111,M,25,17,94538,"Usual Suspects, The (1995)",Crime|Thriller
5377,50,4,960404965,F,18,3,10017,"Usual Suspects, The (1995)",Crime|Thriller
5387,50,5,960402136,F,25,1,45056,"Usual Suspects, The (1995)",Crime|Thriller
5390,50,4,960328276,M,1,0,78130,"Usual Suspects, The (1995)",Crime|Thriller
5394,50,5,960320290,M,18,0,60618,"Usual Suspects, The (1995)",Crime|Thriller
5395,50,5,960317405,M,50,1,13224,"Usual Suspects, The (1995)",Crime|Thriller
5397,50,5,963416233,M,18,0,60451,"Usual Suspects, The (1995)",Crime|Thriller
5404,50,3,960255439,M,25,0,30068,"Usual Suspects, The (1995)",Crime|Thriller
5407,50,5,960248298,F,35,17,30096,"Usual Suspects, The (1995)",Crime|Thriller
5413,50,4,960239123,M,35,1,59801,"Usual Suspects, The (1995)",Crime|Thriller
5419,50,5,960173869,F,18,12,5055,"Usual Suspects, The (1995)",Crime|Thriller
5423,50,5,960148683,F,50,5,60714,"Usual Suspects, The (1995)",Crime|Thriller
5424,50,5,981331884,F,35,2,80012,"Usual Suspects, The (1995)",Crime|Thriller
5427,50,5,960088120,M,35,19,11201,"Usual Suspects, The (1995)",Crime|Thriller
5432,50,5,960056648,M,56,13,1742,"Usual Suspects, The (1995)",Crime|Thriller
5433,50,4,960050420,F,35,17,45014,"Usual Suspects, The (1995)",Crime|Thriller
5437,50,5,960003287,M,25,11,55426,"Usual Suspects, The (1995)",Crime|Thriller
5438,50,5,959998683,M,25,14,60048,"Usual Suspects, The (1995)",Crime|Thriller
5442,50,5,959981003,M,25,7,63110,"Usual Suspects, The (1995)",Crime|Thriller
5445,50,5,959972982,M,25,0,43223,"Usual Suspects, The (1995)",Crime|Thriller
5452,50,5,959937256,M,35,6,10011,"Usual Suspects, The (1995)",Crime|Thriller
5453,50,5,959927649,M,18,4,30305,"Usual Suspects, The (1995)",Crime|Thriller
5457,50,5,959913459,M,18,12,55405,"Usual Suspects, The (1995)",Crime|Thriller
5458,50,3,960518338,F,18,2,98102,"Usual Suspects, The (1995)",Crime|Thriller
5460,50,5,959906342,M,18,4,2143,"Usual Suspects, The (1995)",Crime|Thriller
5463,50,4,959900678,M,35,0,53202,"Usual Suspects, The (1995)",Crime|Thriller
5464,50,4,959899915,M,35,7,77079,"Usual Suspects, The (1995)",Crime|Thriller
5466,50,4,959898203,M,25,12,98033,"Usual Suspects, The (1995)",Crime|Thriller
5468,50,4,959898310,M,25,12,94618,"Usual Suspects, The (1995)",Crime|Thriller
5471,50,5,959895044,M,18,7,10016,"Usual Suspects, The (1995)",Crime|Thriller
5473,50,5,959885909,M,25,1,20120-6354,"Usual Suspects, The (1995)",Crime|Thriller
5475,50,4,994750566,M,25,4,94110,"Usual Suspects, The (1995)",Crime|Thriller
5482,50,5,959865052,M,18,7,10014,"Usual Suspects, The (1995)",Crime|Thriller
5484,50,5,1045763896,M,45,17,21742,"Usual Suspects, The (1995)",Crime|Thriller
5486,50,5,959826374,M,25,0,17821,"Usual Suspects, The (1995)",Crime|Thriller
5488,50,5,969571042,M,25,15,91125,"Usual Suspects, The (1995)",Crime|Thriller
5489,50,5,959817411,M,18,7,94104,"Usual Suspects, The (1995)",Crime|Thriller
5491,50,4,960870303,M,18,7,10016,"Usual Suspects, The (1995)",Crime|Thriller
5493,50,5,959885021,M,35,12,96797,"Usual Suspects, The (1995)",Crime|Thriller
5496,50,3,959809648,M,25,7,90069,"Usual Suspects, The (1995)",Crime|Thriller
5499,50,5,959797282,F,25,19,60201,"Usual Suspects, The (1995)",Crime|Thriller
5511,50,5,959714911,M,45,1,92407,"Usual Suspects, The (1995)",Crime|Thriller
5515,50,5,959703941,M,18,4,16101,"Usual Suspects, The (1995)",Crime|Thriller
5520,50,4,959738212,M,45,1,18901,"Usual Suspects, The (1995)",Crime|Thriller
5521,50,5,959648769,F,25,6,2118,"Usual Suspects, The (1995)",Crime|Thriller
5522,50,5,959646531,M,25,14,2460,"Usual Suspects, The (1995)",Crime|Thriller
5526,50,5,959634431,F,35,2,27514,"Usual Suspects, The (1995)",Crime|Thriller
5530,50,5,959624412,F,18,4,63141,"Usual Suspects, The (1995)",Crime|Thriller
5536,50,4,959812224,M,25,16,67204,"Usual Suspects, The (1995)",Crime|Thriller
5539,50,3,968385274,F,25,20,91403,"Usual Suspects, The (1995)",Crime|Thriller
5544,50,5,959498047,M,25,15,8876,"Usual Suspects, The (1995)",Crime|Thriller
5545,50,5,959491312,F,35,16,98072,"Usual Suspects, The (1995)",Crime|Thriller
5547,50,5,959477080,F,18,4,10025,"Usual Suspects, The (1995)",Crime|Thriller
5548,50,5,959480486,F,18,4,2138,"Usual Suspects, The (1995)",Crime|Thriller
5550,50,5,959470241,M,35,15,48187,"Usual Suspects, The (1995)",Crime|Thriller
5555,50,5,959648114,M,1,10,37830,"Usual Suspects, The (1995)",Crime|Thriller
5557,50,5,959449055,M,35,14,33701,"Usual Suspects, The (1995)",Crime|Thriller
5561,50,4,959374271,F,25,3,74075,"Usual Suspects, The (1995)",Crime|Thriller
5572,50,5,959301746,F,25,4,63119,"Usual Suspects, The (1995)",Crime|Thriller
5578,50,5,959289570,F,18,1,2109,"Usual Suspects, The (1995)",Crime|Thriller
5585,50,5,959277239,M,25,4,10016,"Usual Suspects, The (1995)",Crime|Thriller
5594,50,4,976409073,F,45,0,55419,"Usual Suspects, The (1995)",Crime|Thriller
5597,50,4,959215515,F,18,4,95008,"Usual Suspects, The (1995)",Crime|Thriller
5601,50,5,959211918,M,35,1,98225,"Usual Suspects, The (1995)",Crime|Thriller
5605,50,4,959196678,F,18,2,95008,"Usual Suspects, The (1995)",Crime|Thriller
5614,50,5,959132166,M,25,0,12833,"Usual Suspects, The (1995)",Crime|Thriller
5619,50,5,959119937,F,18,4,22310,"Usual Suspects, The (1995)",Crime|Thriller
5621,50,5,959096064,M,25,7,2135,"Usual Suspects, The (1995)",Crime|Thriller
5625,50,5,959088477,M,25,1,1760,"Usual Suspects, The (1995)",Crime|Thriller
